,iso,year,gdpPerc
312,SYR,1900,0.07232100326
313,THA,1900,0.1664128567
314,TTO,1900,0.008503100735
315,TUN,1900,0.06611045932
316,TUR,1900,0.7065799321
317,TWN,1900,0.06351878709
318,URY,1900,0.08921101594
319,USA,1900,13.99185314
320,VEN,1900,0.1551239624
321,VNM,1900,0.3790941551
322,YEM,1900,0.1218515249
323,YUG,1900,0.525409326
324,ZAF,1900,0.3298684842
325,AFG,1950,0.2127158562
326,AGO,1950,0.2311068376
327,ALB,1950,0.02388473861
328,ARE,1950,0.1067300667
329,ARG,1950,1.639078414
330,ARM,1950,0.01290727666
331,AUS,1950,1.214696074
332,AUT,1950,0.4862596875
333,AZE,1950,0.02748154477
334,BDI,1950,0.01382004927
335,BEL,1950,0.8446028911
336,BEN,1950,0.02429713555
337,BFA,1950,0.0237309313
338,BGD,1950,0.5573318885
339,BGR,1950,0.2269914679
340,BHR,1950,0.02168135746
341,BIH,1950,0.04656103799
342,BLR,1950,0.1350654904
343,BOL,1950,0.09591513639
344,BRA,1950,1.689936127
345,BRB,1950,0.006243860917
346,BWA,1950,0.003654996735
347,CAF,1950,0.01783165288
348,CAN,1950,1.885467039
349,CHE,1950,1.08311091
350,CHL,1950,0.3408142116
351,CHN,1950,3.80067673
352,CIV,1950,0.07776696518
353,CMR,1950,0.07973582094
354,COD,1950,0.2325975348
355,COG,1950,0.02474922821
356,COL,1950,0.431820215
357,COM,1950,0.00116110551
358,CPV,1950,0.002343400987
359,CRI,1950,0.02870223752
360,CSK,1950,0.8871963313
361,CUB,1950,0.2424536634
362,CYP,1950,0.01888739776
363,CZE,1950,0.1561071616
364,DEU,1950,5.849173208
365,DJI,1950,0.002748923732
366,DMA,1950,0.0008336102951
367,DNK,1950,0.5813681103
368,DOM,1950,0.06128517439
369,DZA,1950,0.4827763206
370,ECU,1950,0.1262732248
371,EGY,1950,0.7445552745
372,ESP,1950,1.254836464
373,EST,1950,0.01917013435
374,ETH,1950,0.1224265145
375,FIN,1950,0.3012202431
376,FRA,1950,3.95780005
377,GAB,1950,0.03512847183
378,GBR,1950,5.93229028
379,GEO,1950,0.03349223966
380,GHA,1950,0.1018396638
381,GIN,1950,0.01935680684
382,GMB,1950,0.00339758554
383,GNB,1950,0.003107363719
384,GNQ,1950,0.002053659269
385,GRC,1950,0.3041354459
386,GTM,1950,0.1030840453
387,HKG,1950,0.07329315403
388,HND,1950,0.03717749374
389,HRV,1950,0.06711296122
390,HTI,1950,0.08397474205
391,HUN,1950,0.6148090554
392,IDN,1950,1.270993499
393,IND,1950,3.227771186
394,IRL,1950,0.2257640429
395,IRN,1950,0.8545527488
396,IRQ,1950,0.537554643
397,ISL,1950,0.01223456609
398,ISR,1950,0.0588224789
399,ITA,1950,3.322894994
400,JAM,1950,0.0390199844
401,JOR,1950,0.02094710195
402,JPN,1950,2.764325358
403,KAZ,1950,0.06375527873
404,KEN,1950,0.09991600316
405,KGZ,1950,0.01656513218
406,KHM,1950,0.02302649034
407,KOR,1950,0.2679471265
408,KWT,1950,0.3019063204
409,LAO,1950,0.01671009033
